model,scope,perturbation,level,hours,RMSE,MAE,NSE,R,bias_mm_h,n_values,delta_NSE,relative_delta_NSE_pct,relative_delta_RMSE_pct
am,auxiliares,ruido,1.0,12,0.06729649539309839,0.016922079524306414,0.8635774141121861,0.9295356699883112,0.0038843582872726866,217704,-0.011956242784615045,-1.3655948792410986,4.692886440778974
am,auxiliares,ruido,1.0,24,0.0880417759100125,0.020744240852200873,0.7531324954576355,0.868170882213238,0.004074240075507376,435408,-0.011124047373908708,-1.4555383893338347,2.332159582808717
am,auxiliares,ruido,1.0,48,0.10355809739962984,0.02733372308737304,0.6357822359212455,0.7981026995770475,0.005143183204653659,870816,-0.00858964918100713,-1.333026685303639,1.2004673531240178
am,todas,faltantes,0.05,12,0.06423309874965685,0.013644993023251051,0.875714881988387,0.9360309578321551,0.003817158908443167,217704,0.00018122509158580158,0.020698814963679063,-0.07282736112844236
am,todas,faltantes,0.05,24,0.08606100739732442,0.018159126851295955,0.7641156166609517,0.8745228427359804,0.0040587951125365205,435408,-0.00014092617059247026,-0.01843964201737072,0.029885265396319353
am,todas,faltantes,0.05,48,0.10237512268044457,0.025452063283844712,0.644055842623672,0.8034172347836895,0.005123723102956188,870816,-0.00031604247858063594,-0.04904659652096468,0.04442453798334586
am,todas,faltantes,0.1,12,0.06433017977557637,0.013705567615224895,0.8753389124342086,0.9358321131640662,0.0038307074273286434,217704,-0.0001947444625925998,-0.02224294418136278,0.0782011993155609
am,todas,faltantes,0.1,24,0.08588072974059767,0.018193191947628067,0.7651028266772957,0.8750877453308464,0.004082223535443569,435408,0.0008462838457514721,0.11073295396543412,-0.17965391923158258
am,todas,faltantes,0.1,48,0.10222093466258853,0.025470067483548707,0.6451272160842667,0.8040843547820912,0.005152673572172401,870816,0.0007553309820140797,0.11721972970534235,-0.10625319614949286
am,todas,faltantes,0.2,12,0.06554165330416084,0.013815640021546213,0.870599436954647,0.933300527705648,0.0038394518160786636,217704,-0.00493421994215415,-0.5635671345454335,1.9628856812226432
am,todas,faltantes,0.2,24,0.0864212869215023,0.018298952864830062,0.7621365043537329,0.8734226277269056,0.004126208877079347,435408,-0.0021200384778112813,-0.2773987998789793,0.44864308100731815
am,todas,faltantes,0.2,48,0.10249479022025618,0.02555976078785856,0.6432232212720221,0.8029625677421777,0.005214108425352327,870816,-0.0011486638302304897,-0.17826100995207342,0.16136769607554918
am,todas,ruido,0.1,12,0.06604576719723365,0.019259448231845118,0.868601211801981,0.9322080307744962,0.0035086819901413734,217704,-0.006932445094820161,-0.7917965277761202,2.7471336313187686
am,todas,ruido,0.1,24,0.08703820760800739,0.022058127524303566,0.7587283932184392,0.8714540443446683,0.003710878407145849,435408,-0.005528149613104993,-0.7233369036820266,1.1656984276179996
am,todas,ruido,0.1,48,0.10295453455251029,0.027743314927029496,0.6400153709169346,0.8008845222874759,0.004717388948161105,870816,-0.004356514185318017,-0.6760869438967996,0.6106453716543232
am,todas,ruido,0.5,12,0.09880621314994834,0.05891703295729724,0.7059170197060362,0.853056590510846,0.00030049267073544366,217704,-0.16961663719076503,-19.372943102147094,53.71242725979765
am,todas,ruido,0.5,24,0.10776009569727048,0.05363048017414046,0.6301698826118096,0.8037742707869308,-0.0007107321593494763,435408,-0.1340866602197346,-17.544718652057348,25.2510322011547
am,todas,ruido,0.5,48,0.11615005981259566,0.050185083826452696,0.5418244880526296,0.7433619507191958,-0.001065490958954479,870816,-0.10254739704962301,-15.914318954705822,13.505757939600807
am,todas,ruido,1.0,12,0.15231720450435063,0.10373246856973198,0.30112532677068304,0.7045303259146595,-0.0052932325115571804,217704,-0.5744083301261181,-65.60665322244984,136.95926067178664
am,todas,ruido,1.0,24,0.1471194041653185,0.0904484265657853,0.3106714703950333,0.6676704298619737,-0.008783586775326018,435408,-0.4535850724365109,-59.34984485131051,70.99889443576045
am,todas,ruido,1.0,48,0.1433968011269601,0.07817236116212413,0.3016519500643329,0.6209446834786565,-0.011359794968618955,870816,-0.34271993503791975,-53.18666797256913,40.13219299491701
cnn,auxiliares,faltantes,0.05,12,0.06148216226080364,0.013621359711120693,0.886132536406176,0.9416950325885597,0.002944257952541634,217704,1.1584069236958427e-05,0.0013072785612853555,-0.005086257779621565
cnn,auxiliares,faltantes,0.05,24,0.08515515401869347,0.0178245398332367,0.7690551850559751,0.877342817643757,0.002614679667839585,435408,-1.238420554605657e-05,-0.001610288359701373,0.00268131233863362
cnn,auxiliares,faltantes,0.05,48,0.10188012540875173,0.024228413546113867,0.6474895954306764,0.8052921682658662,0.00222318829979342,870816,-2.5236624943691943e-05,-0.0038974589761249165,0.003579749666483885
cnn,auxiliares,faltantes,0.1,12,0.06148648827745716,0.013615042049799592,0.8861165119250706,0.9416878114447095,0.0029462573552565363,217704,-4.4404118684227e-06,-0.0005011067458355591,0.0019495985762584167
cnn,auxiliares,faltantes,0.1,24,0.08516022683822298,0.017818366150567738,0.7690276687822694,0.8773289168442937,0.0026215658192573666,435408,-3.9900479251842036e-05,-0.005188163023199056,0.008638621213362315
cnn,auxiliares,faltantes,0.1,48,0.10188774212242066,0.0242280913289241,0.6474368850286738,0.8052608639093055,0.0022310277451040856,870816,-7.794702694630118e-05,-0.012037875132349973,0.011056169917885841
cnn,auxiliares,faltantes,0.2,12,0.0615125576337408,0.013608616528797695,0.8860199216436337,0.9416319866983616,0.002963695502730795,217704,-0.0001010306933052485,-0.011401456317989483,0.044348937458318236
cnn,auxiliares,faltantes,0.2,24,0.08517514054983578,0.01782367531249928,0.768946763493748,0.8772794158001167,0.002649683930909278,435408,-0.00012080576777317997,-0.015708082436655186,0.02615266562777015
cnn,auxiliares,faltantes,0.2,48,0.10190551697028144,0.024241043344525016,0.647313861351174,0.8051796130927266,0.002258918284942322,870816,-0.00020097070444613507,-0.03103723567352541,0.028503620129121863
cnn,auxiliares,ruido,0.1,12,0.0615441417369627,0.013705529073530755,0.8859028436708754,0.9415552524282864,0.002866134317459498,217704,-0.00021810866606364332,-0.02461387076881911,0.09571748991590115
cnn,auxiliares,ruido,0.1,24,0.08517726279705821,0.0178699348382916,0.7689352493783591,0.8772568770694282,0.0025357969901259447,435408,-0.00013231988316209087,-0.01720523507305709,0.02864494475163974
cnn,auxiliares,ruido,0.1,48,0.10184900875200185,0.024216063883323126,0.64770489297031,0.8054133078719365,0.0021363350178593846,870816,0.0001900609146898713,0.029352364653408507,-0.026963764609184197
cnn,auxiliares,ruido,0.5,12,0.06269225872900522,0.015122681158206048,0.8816061302757447,0.9392232152099945,0.0024655428226306787,217704,-0.004514822061194246,-0.5095040411004217,1.963021035589348
cnn,auxiliares,ruido,0.5,24,0.08602958486632913,0.018951468895282618,0.7642878370758304,0.874597313524829,0.0022090255202988655,435408,-0.004779732185690833,-0.6214970409271654,1.029576635275751
